r       ,Kf      ,Km      ,      Ky      ,      Kz      ,      PSI     
  0.1000, 70.0000, 50.0000,     50.151076,     50.181380,      0.009069
  0.1000, 70.0000, 70.0000,     70.000000,     70.000000,      0.009069
  0.1000, 70.0000, 90.0000,     89.796591,     89.818620,      0.009069
  0.1000, 70.0000,110.0000,    109.558417,    109.637240,      0.009069
  0.1000, 70.0000,130.0000,    129.295975,    129.455860,      0.009069
  0.1000, 70.0000,150.0000,    149.015921,    149.274480,      0.009069
  0.1000, 70.0000,170.0000,    168.722682,    169.093100,      0.009069
  0.1000, 90.0000, 20.0000,     20.231733,     20.634830,      0.009069
  0.1000, 90.0000, 30.0000,     30.272771,     30.544140,      0.009069
  0.1000, 90.0000, 40.0000,     40.279469,     40.453450,      0.009069
  0.1000, 90.0000, 50.0000,     50.259271,     50.362760,      0.009069
  0.1000, 90.0000, 70.0000,     70.158570,     70.181380,      0.009069
  0.1000, 90.0000, 90.0000,     89.999999,     90.000000,      0.009069
  0.1000, 90.0000,110.0000,    109.801065,    109.818620,      0.009069
  0.1000, 90.0000,130.0000,    129.572857,    129.637240,      0.009069
  0.1000, 90.0000,150.0000,    149.322743,    149.455860,      0.009069
  0.1000, 90.0000,170.0000,    169.055811,    169.274480,      0.009069
  0.1000,110.0000, 20.0000,     20.252235,     20.816210,      0.009069
  0.1000,110.0000, 30.0000,     30.311944,     30.725520,      0.009069
  0.1000,110.0000, 40.0000,     40.339345,     40.634830,      0.009069
  0.1000,110.0000, 50.0000,     50.340573,     50.544140,      0.009069
  0.1000,110.0000, 70.0000,     70.282153,     70.362760,      0.009069
  0.1000,110.0000, 90.0000,     90.163063,     90.181380,      0.009069
  0.1000,110.0000,110.0000,    110.000001,    110.000000,      0.009069
  0.1000,110.0000,130.0000,    129.804050,    129.818620,      0.009069
  0.1000,110.0000,150.0000,    149.582860,    149.637240,      0.009069
  0.1000,110.0000,170.0000,    169.341879,    169.455860,      0.009069
  0.1000,130.0000, 20.0000,     20.267284,     20.997590,      0.009069
  0.1000,130.0000, 30.0000,     30.341357,     30.906900,      0.009069
  0.1000,130.0000, 40.0000,     40.385193,     40.816210,      0.009069
  0.1000,130.0000, 50.0000,     50.403899,     50.725520,      0.009069
  0.1000,130.0000, 70.0000,     70.381179,     70.544140,      0.009069
  0.1000,130.0000, 90.0000,     90.296701,     90.362760,      0.009069
  0.1000,130.0000,110.0000,    110.166057,    110.181380,      0.009069
  0.1000,130.0000,130.0000,    130.000004,    130.000000,      0.009069
  0.1000,130.0000,150.0000,    149.806182,    149.818620,      0.009069
  0.1000,130.0000,170.0000,    169.590199,    169.637240,      0.009069
  0.1000,150.0000, 20.0000,     20.278799,     21.178970,      0.009069
  0.1000,150.0000, 30.0000,     30.364254,     31.088280,      0.009069
  0.1000,150.0000, 40.0000,     40.421427,     40.997590,      0.009069
  0.1000,150.0000, 50.0000,     50.454619,     50.906900,      0.009069
  0.1000,150.0000, 70.0000,     70.462305,     70.725520,      0.009069
  0.1000,150.0000, 90.0000,     90.408218,     90.544140,      0.009069
  0.1000,150.0000,110.0000,    110.306765,    110.362760,      0.009069
  0.1000,150.0000,130.0000,    130.168195,    130.181380,      0.009069
  0.1000,150.0000,150.0000,    149.999998,    150.000000,      0.009069
  0.1000,150.0000,170.0000,    169.807781,    169.818620,      0.009069
  0.1000,170.0000, 20.0000,     20.287894,     21.360350,      0.009069
  0.1000,170.0000, 30.0000,     30.382584,     31.269660,      0.009069
  0.1000,170.0000, 40.0000,     40.450783,     41.178970,      0.009069
  0.1000,170.0000, 50.0000,     50.496156,     51.088280,      0.009069
  0.1000,170.0000, 70.0000,     70.529983,     70.906900,      0.009069
  0.1000,170.0000, 90.0000,     90.502689,     90.725520,      0.009069
  0.1000,170.0000,110.0000,    110.427517,    110.544140,      0.009069
  0.1000,170.0000,130.0000,    130.314143,    130.362760,      0.009069
